FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Sam,Laidlow,Sam Laidlow,1,MPRO,Male,Amélie les Bains Palalda,,France,FR,0:45:50,4:38:04,2:41:15,0:03:13,0:01:45,8:10:08,2750,16684,9675,193,105,29408,1,1,1,1,1,1,1,1,1,1,1,1,Finisher,5000
Nathan,Guerbeur,Nathan Guerbeur,19,MPRO,Male,TRUCHTERSHEIM,,France,FR,0:46:37,4:42:24,2:50:18,0:03:08,0:02:15,8:24:43,2797,16944,10218,188,135,30283,2,2,2,8,8,8,2,2,2,2,2,2,Finisher,4825
Harry,Palmer,Harry Palmer,5,MPRO,Male,Chippenham,WIL,United Kingdom,GB,0:46:33,4:48:05,2:48:45,0:03:22,0:01:57,8:28:42,2793,17285,10125,202,117,30522,3,3,3,6,6,6,4,4,4,3,3,3,Finisher,4777
Kieran,Lindars,Kieran Lindars,2,MPRO,Male,Aylesbury,BKM,United Kingdom,GB,0:45:52,4:55:12,2:47:30,0:03:17,0:01:47,8:33:38,2752,17712,10050,197,107,30818,4,4,4,2,2,2,5,5,5,4,4,4,Finisher,4718
Josh,Lewis,Josh Lewis,8,MPRO,Male,Cardiff,GB-WLS,Guernsey,GG,0:45:53,4:48:29,2:56:07,0:03:35,0:01:49,8:35:53,2753,17309,10567,215,109,30953,5,5,5,3,3,3,3,3,3,5,5,5,Finisher,4691
Will,Grace,Will Grace,20,MPRO,Male,Lavant ,SXW,United Kingdom,GB,0:46:36,5:02:11,2:44:48,0:03:15,0:02:02,8:38:52,2796,18131,9888,195,122,31132,6,6,6,7,7,7,7,7,7,6,6,6,Finisher,4655
William,Mennesson,William Mennesson,10,MPRO,Male,NICE,,France,FR,0:49:25,4:52:26,3:01:43,0:04:49,0:02:02,8:50:23,2965,17546,10903,289,122,31823,7,7,7,10,10,10,6,6,6,7,7,7,Finisher,4517
Matthew,Collins,Matthew Collins,17,MPRO,Male,Oswestry,SAL,United Kingdom,GB,0:46:31,5:03:12,2:57:13,0:03:18,0:02:51,8:53:05,2791,18192,10633,198,171,31985,8,8,8,5,5,5,8,8,8,8,8,8,Finisher,4484
Samuel,Böttinger,Samuel Böttinger,13,MPRO,Male,Althengstett,BW,Germany,DE,0:50:47,5:01:06,2:56:23,0:03:45,0:01:40,8:53:41,3047,18066,10583,225,100,32021,9,9,9,13,13,13,9,9,9,9,9,9,Finisher,4477
James,Scott-Farrington,James Scott-Farrington,12,MPRO,Male,bolton,GTM,United Kingdom,GB,0:48:41,5:05:28,2:54:34,0:03:37,0:02:56,8:55:15,2921,18328,10474,217,176,32115,10,10,10,9,9,9,10,10,10,10,10,10,Finisher,4458
Tom,Bill,Tom Bill,137,M30-34,Male,Stafford,,United Kingdom,GB,0:53:29,5:10:55,3:10:52,0:03:57,0:03:24,9:22:36,3209,18655,11452,237,204,33756,11,11,1,17,16,1,13,13,1,11,11,1,Finisher,5000
Borja,Estomba Nieto,Borja Estomba Nieto,111,M35-39,Male,Irun,EUSKAL HERRIA,Spain,ES,0:58:31,5:19:59,3:01:58,0:05:27,0:02:11,9:28:05,3511,19199,10918,327,131,34085,12,12,1,52,48,7,18,18,1,12,12,1,Finisher,5000
Jamie,Berry,Jamie Berry,975,M25-29,Male,Little Crakehall,NORTH YORKSHIRE,United Kingdom,GB,0:53:14,5:13:46,3:19:52,0:04:17,0:02:42,9:33:51,3194,18826,11992,257,162,34431,13,13,1,15,15,2,15,15,1,13,13,1,Finisher,5000
