FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Lionel,Sanders,Lionel Sanders,1,MPRO,Male,Oro Valley,AZ,Canada,CA,0:03:17,1:58:35,1:11:53,0:02:13,0:01:13,3:17:12,197,7115,4313,133,73,11832,1,1,1,44,41,41,1,1,1,1,1,1,Finisher,3500
Ben,Kanute,Ben Kanute,9,MPRO,Male,Loveland,AZ,United States,US,0:02:44,2:02:36,1:11:22,0:02:04,0:00:54,3:19:40,164,7356,4282,124,54,11980,2,2,2,3,3,3,6,6,6,2,2,2,Finisher,3455
Andrea,Salvisberg,Andrea Salvisberg,12,MPRO,Male,Wallisellen,,Sweden,SE,0:02:46,2:02:24,1:11:13,0:02:14,0:01:09,3:19:46,166,7344,4273,134,69,11986,3,3,3,6,6,6,5,5,5,3,3,3,Finisher,3453
Jannik,Schaufler,Jannik Schaufler,6,MPRO,Male,Weingarten,BW,Germany,DE,0:02:46,2:03:21,1:10:44,0:02:00,0:01:03,3:19:54,166,7401,4244,120,63,11994,4,4,4,7,7,7,9,9,9,4,4,4,Finisher,3451
Sam,Appleton,Sam Appleton,2,MPRO,Male,Boulder,CO,Australia,AU,0:02:54,2:03:15,1:12:01,0:02:12,0:01:06,3:21:28,174,7395,4321,132,66,12088,5,5,5,11,11,11,10,10,10,5,5,5,Finisher,3423
Louis,Buttrick,Louis Buttrick,15,MPRO,Male,Nottingham,foreigner,United Kingdom,GB,0:02:53,2:04:21,1:11:28,0:02:03,0:01:17,3:22:02,173,7461,4288,123,77,12122,6,6,6,9,9,9,11,11,11,6,6,6,Finisher,3413
Rudy,Von Berg,Rudy Von Berg,4,MPRO,Male,Boulder,CO,United States,US,0:02:57,2:02:45,1:13:10,0:02:14,0:01:09,3:22:16,177,7365,4390,134,69,12136,7,7,7,14,14,14,8,8,8,7,7,7,Finisher,3408
Ben,Faeh,Ben Faeh,59,MPRO,Male,Chur,Graubünden,Switzerland,CH,0:02:45,2:03:00,1:14:01,0:01:59,0:01:17,3:23:01,165,7380,4441,119,77,12181,8,8,8,4,4,4,7,7,7,8,8,8,Finisher,3395
Timmo,Jeret,Timmo Jeret,48,MPRO,Male,Pärnu,Pärnu maakond,Estonia,EE,0:03:19,2:04:33,1:13:45,0:02:42,0:01:15,3:25:33,199,7473,4425,162,75,12333,9,9,9,46,43,43,13,13,13,9,9,9,Finisher,3349
Ben,Randall,Ben Randall,43,MPRO,Male,FORT COLLINS,CO,United States,US,0:03:35,2:09:09,1:09:07,0:02:43,0:01:27,3:26:01,215,7749,4147,163,87,12361,10,10,10,54,49,49,26,26,26,10,10,10,Finisher,3341
