FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Fellipe Marmo,Gomes Santos,Fellipe Marmo Gomes Santos,983,M30-34,Male,Curitiba,PR,Brazil,BR,,2:05:14,1:16:14,0:00:00,0:01:32,3:23:00,0,7514,4574,0,92,12180,1,1,1,99999,99999,99999,1,1,1,1,1,1,Finisher,3500
Santiago,Ascenco,Santiago Ascenco,411,M40-44,Male,Goiania,,Brazil,BR,,2:08:44,1:15:46,0:00:00,0:01:22,3:25:52,0,7724,4546,0,82,12352,2,2,1,99999,99999,99999,2,2,1,2,2,1,Finisher,3500
Enzo,Krauss,Enzo Krauss,1654,M18-24,Male,Balneário Camboriú,BR-SC,Brazil,BR,,2:10:46,1:21:18,0:00:00,0:00:58,3:33:02,0,7846,4878,0,58,12782,3,3,1,99999,99999,99999,6,6,1,3,3,1,Finisher,3500
Jose,Belarmino,Jose Belarmino,1891,M45-49,Male,São Bernardo do campo,BR-SP,Brazil,BR,,2:10:22,1:21:52,0:00:00,0:01:40,3:33:55,0,7822,4912,0,100,12835,4,4,1,99999,99999,99999,5,5,2,4,4,1,Finisher,3500
Bruno,Khouri,Bruno Khouri,1229,M45-49,Male,Nova Lima,BR-MG,Brazil,BR,,2:09:58,1:22:42,0:00:00,0:01:45,3:34:25,0,7798,4962,0,105,12865,5,5,2,99999,99999,99999,3,3,1,5,5,2,Finisher,3491
Frank ,Silvestrin,Frank Silvestrin,1894,M40-44,Male,Porto Alegre,BR-RS,Brazil,BR,,2:12:43,1:20:01,0:00:00,0:01:46,3:34:31,0,7963,4801,0,106,12871,6,6,2,99999,99999,99999,10,10,3,6,6,2,Finisher,3344
Cid,Barbosa,Cid Barbosa,301,M40-44,Male,natal,Rio Grande do Norte,Brazil,BR,,2:15:31,1:18:27,0:00:00,0:01:12,3:35:11,0,8131,4707,0,72,12911,7,7,3,99999,99999,99999,25,25,5,7,7,3,Finisher,3332
Victor,Navarro Castello Branco,Victor Navarro Castello Branco,868,M35-39,Male,Sao Paulo,BR-SP,Brazil,BR,,2:13:33,1:20:53,0:00:00,0:00:56,3:35:22,0,8013,4853,0,56,12922,8,8,1,99999,99999,99999,13,13,2,8,8,1,Finisher,3500
Andre Luis,de Souza,Andre Luis de Souza,1025,M30-34,Male,Campinas,SP,Brazil,BR,,2:10:04,1:24:25,0:00:00,0:01:13,3:35:42,0,7804,5065,0,73,12942,9,9,2,99999,99999,99999,4,4,2,9,9,2,Finisher,3271
EDUARDO,SIROTO DANGELO,EDUARDO SIROTO DANGELO,891,M30-34,Male,SAO PAULO,SP,Brazil,BR,,2:14:34,1:21:00,0:00:00,0:01:05,3:36:39,0,8074,4860,0,65,12999,10,10,3,99999,99999,99999,17,17,5,10,10,3,Finisher,3254
