FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Jan,Frodeno,Jan Frodeno,2,MPRO,Male,Girona,,Germany,DE,0:22:50,2:02:01,1:11:25,,,3:39:35,1370,7321,4285,87,112,13175,1,1,1,1,1,1,1,1,1,1,1,1,Finisher,3500
Maurice,Clavel,Maurice Clavel,24,MPRO,Male,Freiburg,BW,Germany,DE,0:23:33,2:04:54,1:12:14,,,3:43:43,1413,7494,4334,90,92,13423,2,2,2,9,9,8,2,2,2,2,2,2,Finisher,3425
Miki Mørck,Taagholt,Miki Mørck Taagholt,21,MPRO,Male,Odense,foreigner,Denmark,DK,0:22:57,2:05:52,1:14:23,,,3:46:27,1377,7552,4463,74,121,13587,3,3,3,4,4,4,5,5,5,3,3,3,Finisher,3376
Jan,Stratmann,Jan Stratmann,13,MPRO,Male,Hennef,NW,Germany,DE,0:22:50,2:08:20,1:13:33,,,3:48:10,1370,7700,4413,91,116,13690,4,4,4,1,1,1,6,6,6,4,4,4,Finisher,3345
Giulio,Molinari,Giulio Molinari,22,MPRO,Male,Caltignaga,Novara,Italy,IT,0:22:58,2:05:11,1:17:21,,,3:49:26,1378,7511,4641,109,127,13766,5,5,5,5,5,5,3,3,3,5,5,5,Finisher,3322
Aleksey,Kalistratov,Aleksey Kalistratov,35,MPRO,Male,Moscow ,dolnośląskie,Russia,RU,0:25:19,2:10:18,1:10:37,,,3:49:32,1519,7818,4237,101,97,13772,6,6,6,15,15,14,11,11,10,6,6,6,Finisher,3320
Thomas,Davis,Thomas Davis,46,MPRO,Male,Essex,foreigner,United Kingdom,GB,0:23:10,2:09:32,1:14:44,,,3:50:34,1390,7772,4484,84,104,13834,7,7,7,8,8,7,7,7,7,7,7,7,Finisher,3302
Colin,Norris,Colin Norris,44,MPRO,Male,London,,United Kingdom,GB,0:25:35,2:10:01,1:13:17,,,3:52:35,1535,7801,4397,104,118,13955,8,8,8,21,21,18,12,12,11,8,8,8,Finisher,3266
Nils,Frommhold,Nils Frommhold,3,MPRO,Male,Freiburg,,Germany,DE,,,1:17:11,,,3:53:44,0,0,4631,0,0,14024,9,9,9,99999,99999,99999,99999,99999,99999,9,9,9,Finisher,3245
Adriano,Engelhardt,Adriano Engelhardt,1975,M25-29,Male,Locarno,,Eswatini,SZ,0:25:55,2:10:47,1:11:57,,,3:53:56,1555,7847,4317,160,157,14036,10,10,1,25,25,3,17,17,2,10,10,1,Finisher,3500
Robert,Wilkowiecki,Robert Wilkowiecki,33,MPRO,Male,Twardogóra,,Poland,PL,0:24:04,2:14:17,1:13:39,,,3:54:45,1444,8057,4419,76,89,14085,11,11,10,10,10,9,19,19,17,11,11,10,Finisher,3227
Alexander,Polizzi,Alexander Polizzi,20,MPRO,Male,Coolum Beach,QLD,Australia,AU,0:23:02,2:10:14,1:19:55,,,3:56:49,1382,7814,4795,91,127,14209,12,12,11,7,7,6,9,9,9,12,12,11,Finisher,3189
Markus,Thomschke,Markus Thomschke,15,MPRO,Male,Pulsnitz,foreigner,Germany,DE,0:26:14,2:09:17,1:17:27,,,3:57:01,1574,7757,4647,121,122,14221,13,13,12,27,27,22,15,15,14,13,13,12,Finisher,3186
Daniil,Sapunov,Daniil Sapunov,6,MPRO,Male,Kyiv ,,Ukraine,UA,0:24:11,2:14:16,1:16:05,,,3:58:00,1451,8056,4565,86,122,14280,14,14,13,12,12,11,21,21,19,14,14,13,Finisher,3168
Tyczynski,Jacek,Tyczynski Jacek,30,MPRO,Male,Głogów,,Poland,PL,0:25:16,2:12:44,1:16:30,,,3:58:08,1516,7964,4590,97,121,14288,15,15,14,14,14,13,19,19,17,15,15,14,Finisher,3166
