FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Jérémy,MOREL,Jérémy MOREL,557,M25-29,,Roubaix,Hauts-de-France,France,FR,0:30:47,2:24:55,1:18:54,,,4:17:38,1847,8695,4734,116,66,15458,1,1,1,14,13,3,1,1,1,1,1,1,Finisher,3500
Sean,Bechtel,Sean Bechtel,1350,M30-34,Male,Collingwood,ON,Canada,CA,0:28:31,2:27:34,1:25:47,,,4:25:16,1711,8854,5147,128,76,15916,2,2,1,2,1,1,3,3,1,10,10,3,Finisher,3500
Matt,Cymanski,Matt Cymanski,62,M25-29,Male,CULPEPER,VA,United States,US,0:30:34,2:32:57,1:22:54,,,4:29:51,1834,9177,4974,131,75,16191,4,4,2,12,11,2,7,7,2,4,4,2,Finisher,3280
Kiley,Austin-Young,Kiley Austin-Young,6,M30-34,Male,Drums,PA,United States,US,0:31:06,2:34:25,1:22:56,,,4:31:55,1866,9265,4976,134,74,16315,5,5,2,18,17,3,8,8,2,5,5,2,Finisher,3380
Luke,Ehgoetz,Luke Ehgoetz,522,M40-44,Male,New Hamburg,ON,Canada,CA,0:33:02,2:31:06,1:25:46,,,4:32:54,1982,9066,5146,111,69,16374,6,6,1,45,38,8,6,6,2,9,9,2,Finisher,3500
Duncan,Ross,Duncan Ross,13,M30-34,Male,Brantford,ON,Canada,CA,0:34:52,2:34:28,1:19:24,,,4:33:04,2092,9268,4764,150,110,16384,7,7,3,95,80,15,9,9,3,2,2,1,Finisher,3359
Thierry,Guertin,Thierry Guertin,54,M40-44,Male,Windsor,ON,Canada,CA,0:32:53,2:28:16,1:27:58,,,4:33:18,1973,8896,5278,129,122,16398,8,8,2,39,33,7,4,4,1,17,17,3,Finisher,3492
Ryan,Mccallum,Ryan Mccallum,1357,M18-24,Male,Richmond Hill,ON,Canada,CA,0:30:58,2:35:22,1:27:40,,,4:37:25,1858,9322,5260,141,64,16645,9,9,1,17,16,5,11,11,1,14,14,3,Finisher,3500
Marc-Antoine,Langlois,Marc-Antoine Langlois,24,M35-39,Male,Montreal,QC,Canada,CA,0:36:25,2:36:30,1:28:27,,,4:45:18,2185,9390,5307,119,117,17118,10,10,1,134,114,20,15,15,1,19,19,3,Finisher,3500
Julien,Schoenborn,Julien Schoenborn,26,M35-39,Male,Vaudreuil-Dorion,QC,Canada,CA,0:34:15,2:40:51,1:29:40,,,4:48:29,2055,9651,5380,154,69,17309,11,11,2,71,59,7,26,26,3,23,23,5,Finisher,3442
Scott,Johnson,Scott Johnson,618,M25-29,Male,Toronto,ON,Canada,CA,0:44:18,2:34:29,1:26:41,,,4:48:33,2658,9269,5201,118,67,17313,12,12,3,544,396,52,10,10,3,12,12,4,Finisher,2943
Ryan,Hadley,Ryan Hadley,1368,M35-39,Male,Silver Spring,MD,United States,US,0:29:01,2:45:51,1:30:09,,,4:49:41,1741,9951,5409,155,125,17381,14,14,3,4,3,1,53,52,9,26,26,6,Finisher,3421
Matt,Gervais,Matt Gervais,310,M35-39,Male,Windsor,ON,Canada,CA,0:32:56,2:42:32,1:30:44,,,4:50:45,1976,9752,5444,141,132,17445,15,15,4,41,35,6,30,30,5,28,28,8,Finisher,3401
Johnathan,Hostick,Johnathan Hostick,1351,M30-34,Male,Aurora,ON,Canada,CA,0:32:48,2:41:11,1:33:03,,,4:51:33,1968,9671,5583,167,104,17493,16,16,4,37,31,9,27,27,4,35,34,5,Finisher,3026
Massimo,Callegari,Massimo Callegari,30,M35-39,Male,Oak Park,CA,Italy,IT,0:34:43,2:41:56,1:30:42,,,4:51:33,2083,9716,5442,160,92,17493,16,16,5,87,73,10,29,29,4,27,27,7,Finisher,3387
Christian,Uhlrich,Christian Uhlrich,856,M45-49,Male,drummondville,QC,France,FR,0:34:24,2:42:55,1:31:09,,,4:52:08,2064,9775,5469,156,64,17528,18,18,1,75,63,7,33,33,3,29,29,1,Finisher,3500
Barthelemy,Rolet,Barthelemy Rolet,1447,M40-44,Male,MOntreal,QC,Canada,CA,0:35:27,2:39:55,1:33:09,,,4:52:36,2127,9595,5589,160,85,17556,19,19,3,103,88,16,20,20,4,36,35,6,Finisher,3145
Simon,Levasseur,Simon Levasseur,51,M40-44,Male,Coteau du lac,QC,Canada,CA,0:38:02,2:48:30,1:23:41,,,4:52:49,2282,10110,5021,98,58,17569,20,20,4,183,151,27,72,69,13,7,7,1,Finisher,3141
Ernest,St-Pierre,Ernest St-Pierre,31,M35-39,Male,Saint-Hippolyte,QC,Canada,CA,0:35:59,2:37:44,1:34:57,,,4:52:59,2159,9464,5697,178,81,17579,21,21,6,114,94,14,17,17,2,46,45,10,Finisher,3361
Tim,Rowley,Tim Rowley,137,M50-54,Male,Toronto,ON,Canada,CA,0:33:41,2:40:28,1:36:15,,,4:53:27,2021,9628,5775,104,79,17607,22,22,1,56,46,2,23,23,1,59,56,7,Finisher,3500
Scott,Geverink,Scott Geverink,569,M25-29,Male,PINCKNEY,MI,United States,US,0:31:28,2:40:24,1:39:33,,,4:54:54,1888,9624,5973,135,74,17694,23,23,4,22,19,4,21,21,6,96,85,15,Finisher,2829
David,Harding,David Harding,1004,M55-59,Male,Greely,ON,Canada,CA,0:34:27,2:47:24,1:30:08,,,4:55:07,2067,10044,5408,112,76,17707,25,25,1,78,66,3,63,61,2,25,25,2,Finisher,3500
Matthew,Poole,Matthew Poole,34,M35-39,Male,Georgetown,ON,Canada,CA,0:32:43,2:43:58,1:33:43,,,4:55:27,1963,9838,5623,156,147,17727,26,26,7,35,29,5,40,39,6,39,38,9,Finisher,3317
Ryan,Brown,Ryan Brown,4,M30-34,Male,St. John's,NL,Canada,CA,0:31:43,2:42:54,1:36:44,,,4:55:34,1903,9774,5804,147,106,17734,27,27,5,27,22,5,32,32,5,63,59,9,Finisher,2954
David,Romaniuk,David Romaniuk,143,M50-54,Male,Pickering,ON,Canada,CA,0:36:29,2:46:55,1:27:41,,,4:55:44,2189,10015,5261,178,101,17744,28,28,2,137,117,9,60,59,6,16,16,1,Finisher,3458
Philippe,Labonte,Philippe Labonte,592,M25-29,Male,Beaumont,QC,Canada,CA,0:40:04,2:36:12,1:35:41,,,4:56:19,2404,9372,5741,169,93,17779,29,29,5,302,242,27,13,13,4,54,52,8,Finisher,2803
Gary,Greib,Gary Greib,139,M50-54,Male,LAKE ORION,MI,United States,US,0:36:25,2:44:24,1:32:34,,,4:56:30,2185,9864,5554,112,75,17790,30,30,3,134,114,8,46,45,3,32,32,2,Finisher,3445
Stratton,Townley,Stratton Townley,562,M25-29,Male,Toronto,ON,Canada,CA,0:34:44,2:44:18,1:34:26,,,4:56:57,2084,9858,5666,118,91,17817,31,31,6,88,74,7,45,44,8,43,42,7,Finisher,2792
Kevin,Van Geest,Kevin Van Geest,40,M40-44,Male,Beamsville,ON,Canada,CA,0:31:26,2:48:07,1:34:26,,,4:57:39,1886,10087,5666,143,77,17859,32,32,5,21,18,3,67,65,11,43,42,9,Finisher,3054
Stephen,Garner,Stephen Garner,588,M25-29,Male,yarmouthport,MA,United States,US,0:40:06,2:49:36,1:23:14,,,4:58:27,2406,10176,4994,217,114,17907,33,33,7,305,245,29,85,82,16,6,6,3,Finisher,2765
Jonathan,Brault,Jonathan Brault,324,M35-39,Male,Léry,QC,Canada,CA,0:35:10,2:44:04,1:35:11,,,4:58:30,2110,9844,5711,137,108,17910,34,34,8,101,86,13,43,42,7,49,48,11,Finisher,3262
Paul,Huyer,Paul Huyer,133,M55-59,Male,Toronto,ON,Canada,CA,0:42:18,2:43:22,1:28:52,,,4:58:38,2538,9802,5332,141,105,17918,35,35,2,408,312,12,36,36,1,21,21,1,Finisher,3436
Austin,Abair,Austin Abair,67,M25-29,Male,Redford,MI,United States,US,0:33:49,2:45:03,1:36:56,,,4:58:41,2029,9903,5816,116,57,17921,36,36,8,60,50,5,50,49,9,64,60,10,Finisher,2761
Mitch,Kennedy,Mitch Kennedy,39,M18-24,Male,Dubai,DXB,Australia,AU,0:30:40,2:41:31,1:42:32,,,4:58:54,1840,9691,6152,151,100,17934,37,37,2,13,12,3,28,28,2,142,125,6,Finisher,3113
Randy,Cooper,Randy Cooper,1373,M40-44,Male,Barrie,ON,Canada,CA,0:44:31,2:36:15,1:35:32,,,5:00:23,2671,9375,5732,172,73,18023,38,38,6,557,404,67,14,14,3,53,51,11,Finisher,3005
Rolando,Ceddia,Rolando Ceddia,991,M55-59,Male,North York,ON,Canada,CA,0:33:39,2:49:55,1:33:14,,,5:00:48,2019,10195,5594,148,92,18048,40,40,3,55,45,1,89,86,3,37,36,3,Finisher,3397
Marty,Greenaway,Marty Greenaway,570,M25-29,Male,Toronto,ON,Canada,CA,0:37:58,2:40:25,1:39:01,,,5:01:37,2278,9625,5941,161,92,18097,41,41,9,180,148,19,22,22,7,86,76,14,Finisher,2708
ian,quint,ian quint,1365,M35-39,Male,Westmount,QC,Canada,CA,0:39:34,2:48:53,1:28:50,,,5:01:56,2374,10133,5330,200,79,18116,42,42,9,277,220,38,77,74,12,20,20,4,Finisher,3200
Alex,Brown,Alex Brown,1432,M45-49,Male,Toronto,ON,Canada,CA,0:32:58,2:45:39,1:40:35,,,5:02:38,1978,9939,6035,118,88,18158,43,43,2,42,36,3,51,50,6,113,100,7,Finisher,3311
Steven,Lawrence,Steven Lawrence,372,M35-39,Male,Franklin,MI,Canada,CA,0:44:02,2:53:04,1:20:32,,,5:03:11,2642,10384,4832,218,115,18191,44,44,10,528,387,61,121,115,17,3,3,1,Finisher,3178
Fiona,Whitby,Fiona Whitby,115,F45-49,Female,Toronto,ON,Canada,CA,0:34:10,2:47:07,1:38:27,,,5:03:39,2050,10027,5907,151,84,18219,45,1,1,69,12,4,61,1,1,79,9,3,Finisher,3500
Jon,Morton,Jon Morton,11,M30-34,Male,Huntsville,ON,Canada,CA,0:31:39,2:47:07,1:39:29,,,5:03:45,1899,10027,5969,166,164,18225,46,45,6,24,20,4,61,60,6,92,82,13,Finisher,2807
Brad,Arndt,Brad Arndt,141,M50-54,Male,London,ON,Canada,CA,0:36:33,2:48:42,1:33:39,,,5:03:50,2193,10122,5619,131,165,18230,47,46,4,141,120,10,74,71,7,38,37,3,Finisher,3313
Jeremy,Tucker,Jeremy Tucker,509,M40-44,Male,Peterborough,ON,Canada,CA,0:30:25,2:46:38,1:43:14,,,5:04:05,1825,9998,6194,135,93,18245,48,47,7,8,7,1,57,56,10,156,138,28,Finisher,2938
