FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Manfred,Lambrechts,Manfred Lambrechts,1109,M25-29,Male,De Aar,Northern Cape,South Africa,ZA,,2:18:11,1:20:21,,,3:40:50,0,8291,4821,0,137,13250,1,1,1,99999,99999,99999,4,4,1,1,1,1,Finisher,3500
Ewert,Kleynhans,Ewert Kleynhans,1107,M40-44,Male,"Pretoria, Magalieskruin",Gauteng,South Africa,ZA,,2:17:33,1:22:23,,,3:41:39,0,8253,4943,0,102,13299,2,2,1,99999,99999,99999,2,2,1,2,2,1,Finisher,3500
Adriaan,Myburgh,Adriaan Myburgh,1232,M25-29,Male,Pretoria,Gauteng,South Africa,ZA,,2:21:42,1:18:16,,,3:42:03,0,8502,4696,0,125,13323,3,3,2,99999,99999,99999,12,12,3,3,3,2,Finisher,3478
Bradley,Birkholtz,Bradley Birkholtz,1417,M40-44,Male,East London,Eastern Cape,South Africa,ZA,,2:23:04,1:17:00,,,3:42:23,0,8584,4620,0,140,13343,4,4,2,99999,99999,99999,13,13,5,4,4,2,Finisher,3486
Bradley,Fleming,Bradley Fleming,1102,M40-44,Male,Johannesburg,,South Africa,ZA,,2:18:27,1:22:35,,,3:42:50,0,8307,4955,0,109,13370,5,5,3,99999,99999,99999,5,5,2,5,5,3,Finisher,3478
Timothy,Hayward,Timothy Hayward,1187,M18-24,Male,Port Elizabeth,Eastern Cape,South Africa,ZA,,2:16:41,1:23:39,,,3:42:54,0,8201,5019,0,154,13374,6,6,1,99999,99999,99999,1,1,1,6,6,1,Finisher,3500
Matthew,Ralphs,Matthew Ralphs,1313,M30-34,Male,Johannesburg,foreigner,South Africa,ZA,,2:17:45,1:22:50,,,3:42:58,0,8265,4970,0,142,13378,7,7,1,99999,99999,99999,3,3,1,7,7,1,Finisher,3500
Alex,Rossouw,Alex Rossouw,1240,M25-29,Male,East London,Eastern Cape,South Africa,ZA,,2:23:34,1:19:11,,,3:44:32,0,8614,4751,0,106,13472,8,8,3,99999,99999,99999,14,14,4,8,8,3,Finisher,3433
Colin,FLEMING,Colin FLEMING,1924,M18-24,Male,Maastricht,,Netherlands,NL,,2:21:22,1:21:31,,,3:44:50,0,8482,4891,0,118,13490,9,9,2,99999,99999,99999,9,9,2,9,9,2,Finisher,3465
Jacques,Badenhorst,Jacques Badenhorst,1179,M18-24,Male,Stellenbosch,,South Africa,ZA,,2:25:08,1:18:32,,,3:45:42,0,8708,4712,0,122,13542,10,10,3,99999,99999,99999,16,16,4,10,10,3,Finisher,3449
Kelton,Miller,Kelton Miller,1919,M25-29,Male,Cape Town,Western Cape,South Africa,ZA,,2:21:25,1:24:11,,,3:48:19,0,8485,5051,0,163,13699,11,11,4,99999,99999,99999,10,10,2,11,11,4,Finisher,3365
Paul,Hilliard,Paul Hilliard,1895,M40-44,Male,Cape Town,Western Cape,South Africa,ZA,,2:30:29,1:14:40,,,3:48:30,0,9029,4480,0,201,13710,12,12,4,99999,99999,99999,30,30,7,12,12,4,Finisher,3376
Haig,Gibb,Haig Gibb,1280,M30-34,Male,Durban,KwaZulu-Natal,South Africa,ZA,,2:19:16,1:27:50,,,3:49:10,0,8356,5270,0,123,13750,13,13,2,99999,99999,99999,7,7,2,13,13,2,Finisher,3388
Heinrich,Lategan,Heinrich Lategan,1445,M40-44,Male,Kimberley,Northern Cape,South Africa,ZA,,2:19:56,1:27:12,,,3:49:16,0,8396,5232,0,128,13756,14,14,5,99999,99999,99999,8,8,4,14,14,5,Finisher,3362
Bradley,Venter,Bradley Venter,1471,M40-44,Male,Durban,,South Africa,ZA,,2:19:02,1:29:13,,,3:50:36,0,8342,5353,0,140,13836,15,15,6,99999,99999,99999,6,6,3,15,15,6,Finisher,3338
Jaap,Koetsier,Jaap Koetsier,1108,M30-34,Male,Velp,,Netherlands,NL,,2:25:57,1:23:52,,,3:53:02,0,8757,5032,0,193,13982,16,16,3,99999,99999,99999,18,18,4,16,16,3,Finisher,3318
Dandre,Fouche,Dandre Fouche,1186,M18-24,Male,Johnannesburg,Gauteng,South Africa,ZA,,2:21:26,1:30:09,,,3:53:43,0,8486,5409,0,128,14023,17,17,4,99999,99999,99999,11,11,3,17,17,4,Finisher,3305
Ryan,Frey,Ryan Frey,1356,M35-39,Male,Johannesburg,Gauteng,South Africa,ZA,,2:30:52,1:23:32,,,3:57:04,0,9052,5012,0,161,14224,18,18,1,99999,99999,99999,32,32,4,18,18,1,Finisher,3500
Adriaan,Wooding,Adriaan Wooding,1411,M35-39,Male,centurion,Gauteng,South Africa,ZA,,2:33:44,1:20:56,,,3:57:20,0,9224,4856,0,159,14240,19,19,2,99999,99999,99999,39,39,5,19,19,2,Finisher,3495
Michael,Plaxton-Harrison,Michael Plaxton-Harrison,1391,M35-39,Male,,Gauteng,South Africa,ZA,,2:28:21,1:25:46,,,3:57:50,0,8901,5146,0,222,14270,20,20,3,99999,99999,99999,22,22,3,20,20,3,Finisher,3486
David,Cilliers,David Cilliers,1344,M35-39,Male,Centurion,Gauteng,South Africa,ZA,,2:25:44,1:28:58,,,3:58:12,0,8744,5338,0,211,14292,21,21,4,99999,99999,99999,17,17,1,21,21,4,Finisher,3479
