FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Olivier,Godart,Olivier Godart,147,M45-49,Male,Dubai,Abu Dhabi,Luxembourg,LU,0:27:01,2:07:49,1:17:12,,,3:55:48,1621,7669,4632,129,97,14148,1,1,1,5,5,1,2,2,1,1,1,1,Finisher,3500
Alessio,Rispoli,Alessio Rispoli,337,M30-34,Male,Porto ercole,Grosseto,Italy,IT,0:25:42,2:09:41,1:28:02,,,4:06:54,1542,7781,5282,94,115,14814,2,2,1,2,2,1,1,1,1,2,2,1,Finisher,3500
David,Hynes,David Hynes,132,M35-39,Male,Muscat,MASQAT,United Kingdom,GB,0:25:50,2:09:32,1:31:41,,,4:10:17,1550,7772,5501,98,95,15017,3,3,1,3,3,2,3,3,1,3,3,1,Finisher,3500
Oscar,Balta,Oscar Balta,607,M40-44,Male,"Tona, Barcelona",,Spain,ES,0:30:16,2:17:10,1:20:24,,,4:11:17,1816,8230,4824,99,109,15077,4,4,1,21,21,3,5,5,1,4,4,1,Finisher,3500
Joachim,Philipps,Joachim Philipps,173,M25-29,Male,Stundwiller,,France,FR,0:27:28,2:20:19,1:21:55,,,4:13:28,1648,8419,4915,146,80,15208,5,5,1,8,8,1,9,9,1,5,5,1,Finisher,3500
Julien,Bletterie,Julien Bletterie,128,M30-34,Male,DUBAI,Provence-Alpes-Côte D'Azur,France,FR,0:31:02,2:15:14,1:23:35,,,4:13:28,1862,8114,5015,118,99,15208,6,6,2,31,30,6,4,4,2,6,6,2,Finisher,3381
Matthew,Brooke,Matthew Brooke,103,M30-34,Male,Nuneaton,Warwickshire,United Kingdom,GB,0:28:30,2:18:33,1:25:04,,,4:16:51,1710,8313,5104,167,117,15411,7,7,3,14,14,2,7,7,3,7,7,3,Finisher,3320
Juan Pedro,Garcia Ochoa,Juan Pedro Garcia Ochoa,178,M35-39,Male,ELCHE,,Spain,ES,0:31:07,2:19:44,1:22:24,,,4:17:19,1867,8384,4944,116,128,15439,8,8,2,37,35,8,13,13,2,8,8,2,Finisher,3373
Maciej,Ogrodnik,Maciej Ogrodnik,125,M25-29,Male,Przemiłów,,Poland,PL,0:28:10,2:22:08,1:27:18,,,4:20:46,1690,8528,5238,116,73,15646,9,9,2,12,12,2,11,11,2,9,9,2,Finisher,3368
Konstantin,Koliasnikov,Konstantin Koliasnikov,384,M35-39,Male,Dubai,Dubai,Russia,RU,0:24:48,2:27:00,1:25:52,,,4:21:53,1488,8820,5152,173,81,15713,10,10,3,1,1,1,16,16,3,10,10,3,Finisher,3291
Alexey,Vshivtsev,Alexey Vshivtsev,600,M30-34,Male,Актобе,Актобе,Kazakhstan,KZ,0:31:02,2:18:23,1:27:45,,,4:21:53,1862,8303,5265,160,123,15713,11,11,4,32,31,7,10,10,4,11,11,4,Finisher,3230
Navid,Salimipour Naghani,Navid Salimipour Naghani,604,M30-34,Male,Birmingham,,Iran,IR,0:31:03,2:24:47,1:26:42,,,4:26:07,1863,8687,5202,113,101,15967,12,12,5,33,32,8,23,23,5,12,12,5,Finisher,3154
Giles,Brook,Giles Brook,107,M45-49,Male,Oakham,,United Kingdom,GB,0:31:04,2:22:02,1:29:59,,,4:26:16,1864,8522,5399,115,76,15976,13,13,2,35,34,4,17,17,3,13,13,2,Finisher,2951
Thomas,Goetz,Thomas Goetz,151,M50-54,Male,Gockhausen,,Switzerland,CH,0:32:30,2:22:53,1:25:36,,,4:26:47,1950,8573,5136,200,148,16007,14,14,1,64,56,5,26,26,3,14,14,1,Finisher,3500
Ronald,Rizk,Ronald Rizk,474,M40-44,Male,Genève,GENEVE,Lebanon,LB,0:31:16,2:20:29,1:30:36,,,4:27:41,1876,8429,5436,156,162,16061,15,15,2,40,37,7,15,15,4,15,15,2,Finisher,3204
Elizabeth,Duncombe,Elizabeth Duncombe,279,F30-34,Female,London,london,United Kingdom,GB,0:35:46,2:19:58,1:26:27,,,4:27:51,2146,8398,5187,203,137,16071,16,1,1,145,22,3,31,1,1,16,1,1,Finisher,3500
