FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
walter,tlaija,walter tlaija,29,M30-34,Male,Porto Alegre,BR-RS,Brazil,BR,0:29:05,2:10:07,1:17:38,,,3:58:13,1745,7807,4658,48,35,14293,1,1,1,34,34,7,2,2,2,1,1,1,Finisher,3500
Bruno,Da Rocha Berger,Bruno Da Rocha Berger,625,M30-34,Male,Porto Alegre,Rio Grande do Sul,Brazil,BR,0:28:57,2:12:40,1:19:16,,,4:03:14,1737,7960,4756,70,71,14594,2,2,2,27,27,5,5,5,3,2,2,2,Finisher,3409
Gonzalo,Acosta,Gonzalo Acosta,63,M30-34,Male,Capital Federal,Buenos Aires,Argentina,AR,0:35:01,2:07:23,1:20:48,,,4:04:48,2101,7643,4848,44,52,14688,3,3,3,217,210,40,6,6,4,3,3,3,Finisher,3381
Alvaro,Cabrera,Alvaro Cabrera,355,M40-44,Male,Barra de Carrasco,Canelones,Uruguay,UY,0:28:19,0:00:00,0:00:00,,,4:08:19,1699,0,0,63,0,14899,4,4,1,16,16,3,99999,99999,99999,4,4,1,Finisher,3500
Tales,Tlaija De Souza,Tales Tlaija De Souza,62,M25-29,Male,Porto Alegre,RS,Brazil,BR,0:31:54,2:18:13,1:15:38,,,4:08:37,1914,8293,4538,121,51,14917,5,5,1,111,109,17,28,28,8,5,5,1,Finisher,3500
Gabriel,Angeloro,Gabriel Angeloro,791,M30-34,Male,Montevideo,UY-MO,Uruguay,UY,0:26:56,2:15:41,1:24:15,,,4:09:15,1616,8141,5055,63,80,14955,6,6,4,3,3,2,7,7,5,6,6,4,Finisher,3301
Bruno Ismael,Baldini,Bruno Ismael Baldini,777,M25-29,Male,la paz,Entre Rios,Argentina,AR,0:25:35,2:14:37,1:28:09,,,4:10:14,1535,8077,5289,53,60,15014,7,7,2,1,1,1,3,3,1,7,7,2,Finisher,3470
Leandro,Leao,Leandro Leao,786,M30-34,Male,SAO PAULO,SP,Brazil,BR,0:27:52,2:14:20,1:26:08,,,4:10:57,1672,8060,5168,91,66,15057,8,8,5,11,11,4,8,8,6,8,8,5,Finisher,3270
Italo,Rizzo,Italo Rizzo,55,M35-39,Male,GOIANIA,BR-GO,Brazil,BR,0:27:59,2:13:30,1:28:46,,,4:12:11,1679,8010,5326,55,61,15131,9,9,1,12,12,3,4,4,1,9,9,1,Finisher,3500
Juan Pablo,Ibanez,Juan Pablo Ibanez,785,M30-34,Male,Maroochydore,QLD,Argentina,AR,0:30:52,2:17:02,1:22:25,,,4:12:56,1852,8222,4945,92,65,15176,10,10,6,77,75,14,19,19,7,10,10,6,Finisher,3235
Maximiliano,Barranque,Maximiliano Barranque,773,M18-24,Male,maldonado,maldonado,Uruguay,UY,0:27:20,2:21:12,1:25:03,,,4:15:32,1640,8472,5103,59,58,15332,11,11,1,4,4,1,20,20,2,11,11,1,Finisher,3500
Rafael,Aragao Queiroz De Freitas,Rafael Aragao Queiroz De Freitas,499,M35-39,Male,GOIANIA,GOIAS,Brazil,BR,0:29:03,2:13:41,1:30:25,,,4:15:51,1743,8021,5425,86,76,15351,12,12,2,32,32,8,10,10,2,12,12,2,Finisher,3434
Diego,Ganly,Diego Ganly,639,M30-34,Male,Saladillo,Buenos Aires,Argentina,AR,0:27:20,2:21:17,1:25:08,,,4:16:02,1640,8477,5108,62,75,15362,13,13,7,4,4,3,21,21,8,13,13,7,Finisher,3179
Diego Alfredo,Ricagno,Diego Alfredo Ricagno,538,M35-39,Male,CONCORDIA,ENTRE RIOS,Argentina,AR,0:30:31,2:19:10,1:24:59,,,4:16:55,1831,8350,5099,75,60,15415,14,14,3,64,62,13,25,25,6,14,14,3,Finisher,3414
Nicolas,Foussats,Nicolas Foussats,497,M35-39,Male,Ramos Mejía,,Argentina,AR,0:28:36,2:22:38,1:23:39,,,4:17:34,1716,8558,5019,77,84,15454,15,15,4,24,24,6,30,30,8,15,15,4,Finisher,3403
Raul,Caetano,Raul Caetano,471,M35-39,Male,Parque Miramar,Canelones,Uruguay,UY,0:30:08,2:15:23,1:29:52,,,4:17:40,1808,8123,5392,83,54,15460,16,16,5,53,53,10,13,13,3,16,16,5,Finisher,3401
Martin,Bertolotti,Martin Bertolotti,582,M25-29,Male,Montevideo,,Uruguay,UY,0:29:10,2:15:03,1:31:41,,,4:17:58,1750,8103,5501,66,58,15478,17,17,3,36,36,9,11,11,2,17,17,3,Finisher,3331
Braulio,Sueiro,Braulio Sueiro,610,M25-29,Male,Montevideo,Montevideo,Uruguay,UY,0:31:27,2:14:21,1:30:35,,,4:18:27,1887,8061,5435,84,40,15507,18,18,4,94,92,15,14,14,4,18,18,4,Finisher,3323
